keyword,seed,intent,suggested_title,notes,priority,slug
IRP 세액공제 한도 계산,연금·세금,실행형,"IRP 세액공제 한도 계산법 – 900만원 채우는 법","연금저축 합산 900만 한도 구조, 총급여별 공제율(16.5/13.2%) 계산 예시",1,irp-tax-deduction-limit
ISA 연금저축 이전 방법,연금·세금,실행형,"ISA 만기자금 연금저축 이전 방법과 추가 세액공제","이전 시 추가공제(최대 300만) 요건과 신청 절차 단계",2,isa-to-pension-transfer
연말정산 연금저축 공제 신청 방법,연금·세금,실행형,"연말정산 연금저축 세액공제 신청 방법 총정리","간소화자료·서류, 납입 마감 타이밍(연말 전). 데이터랩 계절 키워드",3,pension-savings-year-end-tax
IRP 계좌 개설 방법,연금·세금,실행형,"IRP 계좌 개설 방법과 증권사 선택 기준","개설 절차, 수수료·상품 라인업 비교 포인트",4,irp-account-opening
배당소득세 절세 방법,배당,실행형,"배당소득세 절세 방법 – 금융소득 2000만원 넘기 전 체크","15.4% 원천징수, 금융소득종합과세 기준, 연금계좌 활용",5,dividend-income-tax-saving
연금저축 중도해지 불이익,연금·세금,정보형,"연금저축 중도해지 불이익과 대안(담보대출·이전)","기타소득세 16.5% 추징, 해지 대신 납입중지·계좌이전 대안",6,pension-savings-early-termination
ETF 분배금 지급일 확인 방법,ETF·시황,실행형,"ETF 분배금 지급일·지급기준일 확인하는 법","분배락일 개념, HTS/운용사 홈페이지에서 확인하는 절차",7,etf-distribution-payment-date
배당 재투자 방법,배당,실행형,"배당금 재투자 방법과 복리 효과","수동 재투자 vs TR형 ETF, 재투자 복리 시뮬레이션",8,dividend-reinvestment
ISA 계좌 장단점,연금·세금,비교형,"ISA 계좌 장단점과 누구에게 유리한가","비과세 한도(200/400만), 중개형·신탁형 차이, 만기 활용",9,isa-account-pros-cons
배당주 포트폴리오 구성 방법,배당,실행형,"배당주 포트폴리오 구성 방법 – 초보 5종목 예시","섹터 분산, 배당월 분산(1·4·7·10월), 배당성향 점검",10,dividend-portfolio-building
